Код;Адрес МКД;Документ,подтверждающий признание МКД аварийным, номер;Документ,подтверждающий признание МКД аварийным, дата;Планируемая дата окончания переселения;Планируемая дата сноса/реконструкции  МКД;Число жителей всего, чел;Число жителей планируемых к переселению, чел;Общая площадь жилых помещений МКД, кв м;Количество расселяемых жилых помещений, ед;Расселяемая площадь жилых помещений, кв м
104;г Камышлов ул Энгельса д.134 литера Б;Акт и заключение межведомственной комиссии № 2;2008-09-17;4.2015;2.2016;3;3;109.6000;3;109.6000
105;г Камышлов ул Энгельса д.188;Акт и заключение межведомственной комиссии № 32;2008-09-17;4.2015;2.2016;5;5;146.1000;2;146.1000
106;г Камышлов ул Энгельса д.262 литера А;Акт и заключение межведомственной комиссии № 16;2008-09-17;4.2015;2.2016;4;4;102.3000;2;102.3000
107;г Камышлов ул Энгельса д.268;Акт и заключение межведомственной комиссии № 17;2008-09-17;4.2015;2.2016;7;7;92.3000;3;92.3000
108;г Карпинск пер Герцена д.1;Заключение межведомственной комиссии № 141;2011-12-27;4.2015;3.2016;7;7;171.3000;4;171.3000
109;г Карпинск пер Герцена д.10;Заключение межведомственной комиссии № 143;2011-12-27;4.2015;3.2016;17;17;177.5000;3;133.0000
110;г Карпинск пер Герцена д.14;Заключение межведомственной комиссии № 140;2011-12-27;4.2015;3.2016;5;5;174.6000;3;131.3000
111;г Карпинск пер Герцена д.3;Заключение межведомственной комиссии № 142;2011-12-27;4.2015;3.2016;3;3;170.5000;3;128.1000
112;г Карпинск ул Белинского д.93А;Заключение межведомственной комиссии № 147;2011-12-27;4.2015;3.2016;14;14;257.2000;5;210.0000
113;г Карпинск ул Ленина д.104;Заключение межведомственной комиссии № 157;2011-12-27;4.2015;3.2016;21;21;534.7000;8;463.8000
114;г Карпинск ул Ленина д.106;Заключение межведомственной комиссии № 158;2011-12-27;4.2015;3.2016;18;18;549.7000;6;413.1000
115;г Карпинск ул Ленина д.90А;Заключение межведомственной комиссии № 152;2011-12-27;4.2015;3.2016;17;17;353.7000;7;313.1000
116;г Карпинск ул Ленина д.92А;Заключение межведомственной комиссии № 153;2011-12-27;4.2015;3.2016;20;20;348.4000;7;309.7000
117;г Карпинск ул Ленина д.94;Заключение межведомственной комиссии № 154;2011-12-27;4.2015;3.2016;12;12;359.5000;5;229.3000
118;г Карпинск ул Ленина д.94А;Заключение межведомственной комиссии № 155;2011-12-27;4.2015;3.2016;15;15;350.8000;8;350.8000
119;г Карпинск ул Ленина д.96;Заключение межведомственной комиссии № 156;2011-12-27;4.2015;3.2016;19;19;360.9000;8;360.9000
120;г Карпинск ул Лермонтова д.15;Заключение межведомственной комиссии № 162;2011-12-27;4.2015;3.2016;34;34;538.8000;16;538.8000
121;г Карпинск ул Лермонтова д.4;Заключение межведомственной комиссии № 161;2011-12-27;4.2015;3.2016;17;17;387.6000;7;340.5000
122;г Карпинск ул Луначарского д.36;Заключение межведомственной комиссии № 164;2011-12-27;4.2015;3.2016;15;15;445.2000;8;280.0500
123;г Карпинск ул Луначарского д.75;Заключение межведомственной комиссии № 165;2011-12-27;4.2015;3.2016;20;20;380.2000;6;285.1000
124;г Карпинск ул Максима Горького д.1;Заключение межведомтсвенной комиссии № 166;2011-12-27;4.2015;3.2016;18;18;572.5000;4;279.4000
125;г Карпинск ул Максима Горького д.10;Заключение межведомтсвенной комиссии № 167;2011-12-27;4.2015;3.2016;29;29;513.6500;15;493.5500
126;г Карпинск ул Мира д.32;Заключение межведомственной комиссии № 174;2011-12-27;4.2015;3.2016;56;56;866.1000;18;866.1000
127;г Карпинск ул Мира д.32А;постановление главы №1521;2011-12-28;4.2015;3.2016;20;20;323.1000;8;323.1000
128;г Карпинск ул Пушкина д.5;Заключение межведомственной комиссии № 182;2011-12-27;4.2015;3.2016;11;11;260.1000;7;205.5000
129;г Карпинск ул Советская д.30;Заключение межведомственной комиссии № 181;2011-12-27;4.2015;3.2016;12;12;77.2000;4;77.2000
130;г Карпинск ул Чернышевского д.2;Заключение межведомственнй комиссии № 183;2011-12-27;4.2015;3.2016;31;31;471.4000;14;439.8000
131;г Карпинск ул Чернышевского д.4;Заключение межведомственной комиссии № 184;2011-12-27;4.2015;3.2016;19;19;481.1000;14;423.9000
132;г Краснотурьинск ул Абоимова д.37;Акт обследования межведомственной комиссии;2004-03-31;4.2015;2.2016;19;19;518.1000;5;324.2000
133;г Краснотурьинск ул Карпинского д.36;Акт обследования межведомственной комиссии;2004-03-31;4.2015;2.2016;32;32;773.9000;11;745.4000
134;г Краснотурьинск ул Кирова д.28;Акт обследования межведомственной комиссии;2004-03-31;4.2015;2.2016;4;4;84.3000;2;84.3000
135;г Краснотурьинск ул Комарова д.11;Акт обследования межведомственной комиссии;2004-03-31;4.2015;2.2016;5;5;67.3000;2;67.3000
136;г Краснотурьинск ул Коммунальная д.129;Акт обследования межведомственной комиссии;2004-03-31;4.2015;2.2016;3;3;77.1000;2;64.8000
137;г Краснотурьинск ул Крупской д.15;Акт обследования межведомственной комиссии;2004-03-31;4.2015;2.2016;5;5;85.9000;2;85.9000
138;г Краснотурьинск ул Механизаторов д.12;Акт обследования межведомственной комиссии;2004-03-31;4.2015;2.2016;9;9;73.3000;2;73.3000
139;г Краснотурьинск ул Механизаторов д.2;Акт обследования межведомственной комиссии;2004-03-31;4.2015;2.2016;4;4;78.5000;1;57.5000
140;г Краснотурьинск ул Механизаторов д.8;Акт обслеования межведомственной комиссии;2004-03-31;4.2015;2.2016;11;11;66.5000;3;66.5000
141;г Красноуральск ул Парижской Коммуны д.14 А;Акт обследования межведомственной комиссии;1998-09-24;4.2015;2.2016;3;3;73.5000;2;73.5000
142;г Красноуральск ул Устинова д.44;Акт обследования межвежомственной комиссии;1998-09-24;4.2015;2.2016;12;12;327.9000;7;327.9000
143;г Красноуральск ул Фрунзе д.13;Акт и заключение межведомственной комиссии № 6;2008-12-18;4.2015;2.2016;9;9;498.8000;8;498.8000
144;п Дачный ул Советская д.1;Акт и заключение межведомственной комиссии № 7;2008-12-18;4.2015;2.2016;10;10;422.8000;7;422.8000
145;г Красноуфимск пер Лесной д.7;Акт обследования межведомственной комиссии № 4;2003-02-12;4.2015;3.2016;9;9;91.8000;3;91.8000
146;г Красноуфимск ул Кирпично-заводская д.14;Акт обследования межведомственной комиссии;2008-06-26;4.2015;3.2016;13;13;104.1000;5;104.1000
147;г Красноуфимск ул Ленина д.119;Акт обследования межведомственной комиссии № 13;2003-09-14;4.2015;3.2016;7;7;131.3000;3;131.3000
148;г Красноуфимск ул Свердлова д.4;Акт обследования межведомственной комиссии;2008-01-24;4.2015;3.2016;54;54;390.8000;9;390.8000
149;г Красноуфимск ул Советская д.20;Акт обследования межведомтсвенной комиссии;2008-08-21;4.2015;3.2016;13;13;146.2000;4;146.2000
150;г Красноуфимск ул Советская д.22;Акт обследования межведомственной комиссии;2008-08-21;4.2015;3.2016;6;6;96.9000;2;96.9000
151;г Красноуфимск ул разъезд 1430 км «Каменный разъезд» д.*;акт межведомственной комиссии;2008-10-30;4.2015;3.2016;17;17;164.0000;5;164.0000
152;г Первоуральск ул Карбышева д.6;Заключение межведомственной комиссии №83;2010-09-23;4.2015;4.2016;31;31;364.7000;12;364.7000
153;г Первоуральск ул Мамина-Сибиряка д.1;Заключение межведомственной комиссии №86;2010-09-23;4.2015;4.2016;33;33;365.9000;13;365.9000
154;г Первоуральск ул Розы Люксембург д.6;Заключение межведомственной комиссии №85;2010-09-23;4.2015;4.2016;28;28;358.8000;17;358.8000
155;г Реж ул Ватутина д.2;Акт обследования межведомственной комиссии № 1;2002-12-25;4.2015;3.2016;27;27;425.0000;11;386.5000
156;г Реж ул Дегтярева д.5;Акт обследования межведомственной комиссии № 4;2002-12-25;4.2015;3.2016;27;27;435.5000;11;395.3000
157;г Реж ул Ленина д.12;Акт обследования межведомственной комиссии № 14;2002-12-25;4.2015;1.2016;21;21;343.5000;8;343.5000
158;г Реж ул Ленина д.16;Акт обследования межведомственной комиссии № 15;2002-12-25;4.2015;1.2016;22;22;277.5000;8;277.5000
159;г Реж ул Ленина д.18;Акт обследования межведомственной комиссии № 11;2002-12-25;4.2015;1.2016;20;20;353.1000;8;353.1000
160;г Реж ул Энгельса д.10;Акт обследования межведомственной комиссии № 12;2002-12-25;4.2015;1.2016;22;22;577.0000;12;577.0000
161;п Калья ул Клубная д.11;Акт межведомтсвенной комиссии № 28;2003-11-25;4.2015;2.2016;15;15;339.3000;7;287.3000
162;п Калья ул Клубная д.13;Акт межведомтсвенной комиссии № 31;2003-11-25;4.2015;2.2016;38;38;570.1000;10;492.4000
163;п Калья ул Комарова д.30;Акт межведомственной комиссии № 50;2003-11-27;4.2015;2.2016;8;8;589.2000;6;306.7000
164;п Калья ул Ленина д.37;Акт межведомственной комиссии № 43;2003-11-26;4.2015;2.2016;12;12;340.1000;6;261.1000
165;п Черемухово ул Ватутина д.22;Акт межведомственной комиссии № 15;2003-11-21;4.2015;2.2016;19;19;522.3000;9;495.3000
166;п Черемухово ул Ватутина д.30;Акт межведомственной комиссии № 16;2003-11-21;4.2015;2.2016;14;14;353.8000;6;245.5000
167;п Черемухово ул Ватутина д.34;Акт межведомственной комиссии № 10;2003-11-21;4.2015;2.2016;6;6;346.5000;5;226.5000
168;п Черемухово ул Калинина д.29;Акт межведомственной комиссии № 17;2003-11-21;4.2015;2.2016;20;20;534.6000;7;428.4000
169;п Черемухово ул Калинина д.33;Акт межведомственной комиссии № 23;2003-11-21;4.2015;2.2016;24;24;489.0000;7;433.6000
170;п Черемухово ул Калинина д.39;Акт межведомтсвенной комиссии № 26;2003-11-25;4.2015;2.2016;11;11;503.0000;8;503.0000
171;п Черемухово ул Калинина д.43;Акт межведомственной комиссии № 18;2003-11-21;4.2015;2.2016;20;20;708.5000;8;387.6000
172;п Черемухово ул Калинина д.56;Акт межведомтсвенной комиссии № 14;2003-11-21;4.2015;2.2016;12;12;356.1000;7;315.6000
173;п Черемухово ул Ленина д.27;Акт межведомтсвенной комиссии № 27;2003-11-25;4.2015;2.2016;15;15;502.6000;7;432.7000
174;г Серов ул Добрынина д.58/60;Акт межведомственной комиссии № 63;2011-08-31;4.2015;2.2016;14;14;175.4000;6;175.4000
175;г Серов ул Добрынина д.62/64;Акт межведомственной комиссии № 62;2011-08-31;4.2015;2.2016;24;24;246.6000;6;246.6000
176;г Серов ул Ивана Малышева д.94;Акт межведомственной комиссии № 64;2011-08-31;4.2015;2.2016;12;12;184.4000;6;184.4000
177;г Серов ул Короленко д.57/59;Актмежведомственной комиссии № 68;2011-08-31;4.2015;2.2016;30;30;180.5000;6;180.5000
178;г Серов ул Короленко д.61/63;Акт межведомственной комиссии № 69;2011-08-31;4.2015;2.2016;30;30;199.9000;7;199.9000
179;г Серов ул Огородная 1-я д.1 А;Акт межведомственной комиссии № 56;2011-08-31;4.2015;2.2016;16;16;136.1000;6;136.1000
180;г Серов ул Огородная 1-я д.1 Б;Акт межведомственной комиссии № 57;2011-08-31;4.2015;2.2016;10;10;55.8000;3;55.8000
181;г Серов ул Подгорная д.2 А;Акт межведомственной комиссии № 60;2011-08-31;4.2015;2.2016;13;13;82.6000;3;82.6000
182;г Серов ул Розы Люксембург д.71;Акт межведомственной комиссии № 88;2011-09-01;4.2015;2.2016;13;13;120.3000;3;120.3000
183;п Луговской ул 8 Марта д.16;Заключение межведомственной комиссии № 19;2011-12-27;4.2015;3.2016;7;7;78.4000;4;78.4000
184;п Луговской ул 8 Марта д.18;Заключение межведомственной комиссии № 20;2011-12-27;4.2015;3.2016;8;8;78.7000;4;78.7000
185;п Луговской ул 8 Марта д.20;Заключение межведомственной комиссии № 21;2011-12-27;4.2015;3.2016;4;4;77.5000;4;77.5000
186;п Луговской ул 8 Марта д.22;Заключение межведомственной комиссии № 22;2011-12-27;4.2015;3.2016;8;8;79.2000;4;79.2000
187;п Луговской ул Железнодорожная д.43;Заключение межведомственной комиссии № 23;2011-12-27;4.2015;3.2016;6;6;84.4000;2;84.4000
188;п Юшала ул Железнодорожная д.21;Заключение межведомственной комиссии № 16;2011-12-27;4.2015;4.2016;10;10;172.5400;6;172.5400
189;п Юшала ул Железнодорожная д.25;Заключение межведомственной комиссии № 17;2011-12-27;4.2015;4.2016;6;6;106.9000;3;106.9000
190;п Юшала ул Железнодорожная д.37;Заключение межведомственной комиссии № 18;2011-12-27;4.2015;4.2016;5;5;56.0000;3;56.0000
191;рп Тугулым ул Федюнинского д.26;Заключение межведомственной комиссии № 4;2011-12-27;4.2015;4.2016;4;4;117.5000;3;117.5000
192;п Шамары ул Гагарина д.11;Акт и заключение межведомственной комиссии № 52;2009-12-04;4.2015;2.2016;16;16;354.4000;9;354.4000
193;п Шамары ул Гагарина д.15;Акт и заключение межведомственной комиссии № 51;2009-12-04;4.2015;2.2016;11;11;364.4000;8;364.4000
194;п Шамары ул Гагарина д.4;Акт и заключение межведомственной комиссии № 59;2009-12-04;4.2015;2.2016;16;16;182.7000;10;182.7000
195;рп Шаля ул Гоголя д.1 литера а;Акт и заключение межведомственной комиссии № 94;2009-12-04;4.2015;2.2016;16;16;361.3000;9;361.3000
196;рп Шаля ул Кирова д.45;Акт и заключение межведомственной комиссии № 49;2009-12-04;4.2015;2.2016;5;5;158.8000;4;158.8000
197;рп Шаля ул Кирова д.55;Акт и заключение межведомственной комиссии № 75;2009-12-04;4.2015;2.2016;6;6;94.4000;2;94.4000
198;рп Шаля ул Кирова д.78;Акт и заключение межведомственной комиссии № 77;2009-12-04;4.2015;2.2016;9;9;112.0000;4;112.0000
199;рп Шаля ул Ленина д.15;Акт и заключение межведомственной комиссии № 100;2009-12-04;4.2015;2.2016;15;15;298.1000;6;298.1000
200;рп Шаля ул Ленина д.27;Акт и заключение межведомственной комиссии № 101;2009-12-04;4.2015;2.2016;8;8;128.8000;5;128.8000
201;рп Шаля ул Ленина д.33;Акт и заключение межведомственной кмиссии № 103;2009-12-04;4.2015;2.2016;11;11;151.1000;5;151.1000
202;рп Шаля ул Ленина д.39;Акт и заключение межведомственной комиссии № 104;2009-12-04;4.2015;2.2016;6;6;177.7000;4;177.7000
203;рп Шаля ул Ленина д.41;Акт и заключение межведомственной комиссии № 47;2009-12-04;4.2015;2.2016;11;11;152.4000;6;152.4000
204;рп Шаля ул Ленина д.45;Акт и заключение межведомственной комиссии № 106;2011-12-28;4.2015;2.2016;16;16;194.0000;6;194.0000
205;рп Шаля ул Ленина д.5;Акт и заключение межведомственной комиссии № 97;2009-12-04;4.2015;2.2016;9;9;163.7000;6;163.7000
206;рп Шаля ул Ленина д.7;Акт и заключение межведомственной комиссии № 96;2009-12-04;4.2015;2.2016;5;5;181.4000;4;181.4000
207;рп Шаля ул Ленина д.9;Акт и заключение межведомственной комиссии № 98;2009-12-04;4.2015;2.2016;3;3;182.3000;3;182.3000
208;рп Шаля ул Свердлова д.14;Акт и заключение межведомственной комиссии № 110;2011-12-28;4.2015;2.2016;7;7;151.1000;4;151.1000
209;рп Шаля ул Свердлова д.48;Акт и заключение межведомственной комиссии № 86;2009-12-04;4.2015;2.2016;35;35;541.1000;12;541.1000
210;рп Шаля ул Свердлова д.50;Акт и заключение межведомственной комиссии № 87;2009-12-04;4.2015;2.2016;19;19;544.3000;12;544.3000
